Index,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting,Ticker
137,GEBERIT ORD,CH0030170408,Schweiz,CHF,Scoach Switzerland,Equity,A2,Swiss Market Index,Industrieunternehmen,"0,17%",GEBN.SW
138,DSM-FIRMENICH ORD,CH1216478797,Schweiz,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Basiskonsumgüter,"0,17%",DSFIR.AS
139,LEGAL AND GENERAL GROUP PLC,GB0005603997,Großbritannien (UK),GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Finanzdienstleister,"0,17%",LGEN.L
140,NOKIA ORD,FI0009000681,Finnland,EUR,Helsinki Stock Exchange,Equity,B1,OMX Helsinki Index,Telekommunikation,"0,17%",NOKIA.HE
141,REPSOL YPF SA ORD,ES0173516115,Spanien,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Energie,"0,17%",REP.MC
142,NOVOZYMES ORD,DK0060336014,Dänemark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Gesundheitswesen,"0,17%",NZYM-B.CO
143,SWEDBANK ORD,SE0000242455,Schweden,SEK,Stockholm Stock Exchange,Equity,A1,OMX Stockholm 30 Index,Finanzdienstleister,"0,17%",SWED-A.ST
144,CELLNEX TELECOM,ES0105066007,Spanien,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Telekommunikation,"0,17%",CLNX.MC
145,GENMAB ORD,DK0010272202,Dänemark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Gesundheitswesen,"0,17%",GMAB.CO
146,DANSKE BANK ORD,DK0010274414,Dänemark,DKK,Copenhagen Stock Exchange,Equity,Baa1,OMX COPENHAGEN 20 Index,Finanzdienstleister,"0,16%",DANSKE.CO
147,STRAUMANN N ORD,CH1175448666,Schweiz,CHF,-,Equity,-,Swiss Market Index,Gesundheitswesen,"0,16%",STMN.SW
148,CREDIT AGRICOLE SA,FR0000045072,Frankreich,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Finanzdienstleister,"0,16%",ACA.PA
149,DNB BANK ORD,NO0010161896,Norwegen,NOK,Oslo Stock Exchange,Equity,-,Oslo SE All-share Index,Finanzdienstleister,"0,15%",DNB.OL
150,TELEFONAKTIEBOLAGET LM ERICSSON ORD,SE0000108656,Schweden,SEK,Stockholm Stock Exchange,Equity,Baa1,OMX Stockholm 30 Index,Telekommunikation,"0,15%",ERIC-B.ST
151,SVENSKA HANDELSBANKEN CLS A ORD,SE0007100599,Schweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Finanzdienstleister,"0,15%",SHB-A.ST
152,KONINKLIJKE PHILIPS NV,NL0000009538,Niederlande,EUR,Euronext Amsterdam,Equity,A3,Amsterdam Exchanges Index,Gesundheitswesen,"0,15%",PHIA.AS
153,STANDARD CHARTERED PLC ORD,GB0004082847,Großbritannien (UK),GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Finanzdienstleister,"0,15%",STAN.L
154,INTERCONTL HOTELS ORD,GB00BHJYC057,Großbritannien (UK),GBP,-,Equity,-,-,Verbrauchsgüter,"0,15%",IHG.L
155,CAIXABANK SA,ES0140609019,Spanien,EUR,Mercado Continuo Espana,Equity,Baa3,IBEX 35 Index,Finanzdienstleister,"0,14%",CABK.MC
156,KBC GROEP ORD,BE0003565737,Belgien,EUR,Euronext Brussels,Equity,A3,BEL 20 Index,Finanzdienstleister,"0,14%",KBC.BR
157,SONOVA ORD,CH0012549785,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Gesundheitswesen,"0,14%",SOON.SW
